plane.obj
624: x: 0, y: 77, z: 223
625: x: 0, y: 77, z: 224
626: x: 0, y: 77, z: 225
627: x: 0, y: 77, z: 226
628: x: 0, y: 77, z: 227
629: x: 0, y: 77, z: 228
630: x: 0, y: 78, z: 212
631: x: 0, y: 78, z: 213
632: x: 0, y: 78, z: 214
633: x: 0, y: 78, z: 215
634: x: 0, y: 78, z: 216
635: x: 0, y: 78, z: 217
636: x: 0, y: 78, z: 218
637: x: 0, y: 78, z: 219
638: x: 0, y: 78, z: 220
639: x: 0, y: 78, z: 221
640: x: 0, y: 78, z: 222
641: x: 0, y: 78, z: 223
642: x: 0, y: 78, z: 224
643: x: 0, y: 78, z: 225
644: x: 0, y: 78, z: 226
645: x: 0, y: 78, z: 227
646: x: 0, y: 78, z: 228
647: x: 0, y: 79, z: 213
648: x: 0, y: 79, z: 214
649: x: 0, y: 79, z: 215
650: x: 0, y: 79, z: 216
651: x: 0, y: 79, z: 217
652: x: 0, y: 79, z: 218
653: x: 0, y: 79, z: 219
654: x: 0, y: 79, z: 220
655: x: 0, y: 79, z: 221
656: x: 0, y: 79, z: 222
657: x: 0, y: 79, z: 223
658: x: 0, y: 79, z: 224
659: x: 0, y: 79, z: 225
660: x: 0, y: 79, z: 226
661: x: 0, y: 79, z: 227
662: x: 0, y: 79, z: 228
663: x: 0, y: 80, z: 214
664: x: 0, y: 80, z: 215
665: x: 0, y: 80, z: 216
666: x: 0, y: 80, z: 217
667: x: 0, y: 80, z: 218
668: x: 0, y: 80, z: 219
669: x: 0, y: 80, z: 220
670: x: 0, y: 80, z: 221
671: x: 0, y: 80, z: 222
672: x: 0, y: 80, z: 223
673: x: 0, y: 80, z: 224
674: x: 0, y: 80, z: 225
675: x: 0, y: 80, z: 226
676: x: 0, y: 80, z: 227
677: x: 0, y: 80, z: 228
678: x: 0, y: 81, z: 215
679: x: 0, y: 81, z: 216
680: x: 0, y: 81, z: 217
681: x: 0, y: 81, z: 218
682: x: 0, y: 81, z: 219
683: x: 0, y: 81, z: 220
684: x: 0, y: 81, z: 221
685: x: 0, y: 81, z: 222
686: x: 0, y: 81, z: 223
687: x: 0, y: 81, z: 224
